,bar_name,station_id,popularity,fs_price,fs_rating,fs_total_counts,review_count,yelp_rating,yelp_price,yelp_total_counts
176,Le Vin Papillon,444448176f019fa75930cba6037f6ed8,0.9511300463151284,3.0,9.1,11.0,145.0,4.5,3.0,12.0
177,Burgundy Lion,444448176f019fa75930cba6037f6ed8,0.9686998223040528,2.0,8.7,11.0,,,,
178,Atwater Cocktail Club,444448176f019fa75930cba6037f6ed8,0.9870117821690324,3.0,8.7,8.0,120.0,4.5,2.0,12.0
179,Drinkerie Ste-Cunégonde,444448176f019fa75930cba6037f6ed8,0.9665303617432758,2.0,7.5,8.0,,,,
180,El Gordo,444448176f019fa75930cba6037f6ed8,0.950152361786094,2.0,7.2,8.0,,,,
181,Moose Bawr,444448176f019fa75930cba6037f6ed8,0.983372226622992,2.0,7.6,3.0,81.0,3.5,2.0,13.0
182,Kampai Garden,444448176f019fa75930cba6037f6ed8,0.9794043974394656,1.0,7.2,3.0,,,,
183,Paperplane MTL,f9cff3cd7959287708ec2346fdc9f24c,0.6844790796919937,2.0,6.2,6.0,,,,
184,Cafeteria BBR,f9cff3cd7959287708ec2346fdc9f24c,0.8425571089083475,3.0,8.2,1.0,,,,
185,Bar,f9cff3cd7959287708ec2346fdc9f24c,0.9444860733477488,2.0,8.2,3.0,,,,
186,Cyr,f9cff3cd7959287708ec2346fdc9f24c,0.0432893018476096,2.0,8.2,3.0,,,,
187,Stem Bar,f9cff3cd7959287708ec2346fdc9f24c,0.9175034076230848,2.0,8.2,2.0,,,,
188,Else's,0c9cd68aa1bd69a080463ce7f302337c,0.95186509380776,2.0,8.3,8.0,122.0,4.5,2.0,9.0
189,Tattoo Box Montreal,0c9cd68aa1bd69a080463ce7f302337c,0.8865457763314707,2.0,8.0,3.0,,,,
190,North Star Machines à Piastres,c6315ed8be3d1b1db4e1743fd8cf702d,0.9935915276855994,2.0,7.6,2.0,,,,
191,Taverne Atlantic,9fce8c378d9e1fc9d96999ff50a71f6a,0.9879109664804072,2.0,8.2,1.0,,,,
192,Boucherie Bar à vin Provisions,9fce8c378d9e1fc9d96999ff50a71f6a,0.9699629621700314,2.0,8.2,1.0,,,,
193,TAS Café Bistro Lounge,9fce8c378d9e1fc9d96999ff50a71f6a,0.9509445003461146,1.0,8.2,1.0,,,,
194,Wills,9fce8c378d9e1fc9d96999ff50a71f6a,0.9800752174812848,2.0,8.2,2.0,,,,
195,Taverne Portara,9fce8c378d9e1fc9d96999ff50a71f6a,0.8996190724673447,2.0,8.2,2.0,,,,
196,Le Off Miss Villeray,3da178370890fe8edbd73af1c48b6fa7,0.7673324912400894,3.0,8.2,3.0,,,,
197,Raphaël Bistrot Bar à Vins,3da178370890fe8edbd73af1c48b6fa7,0.8996190724673447,2.0,8.2,2.0,,,,
198,Autos Lajeunesse,3da178370890fe8edbd73af1c48b6fa7,0.029116444368323,2.0,8.2,4.0,,,,
199,Le Petit 26,3da178370890fe8edbd73af1c48b6fa7,0.5650517030979041,2.0,8.2,4.0,,,,
200,Chez Josie,3da178370890fe8edbd73af1c48b6fa7,0.9722394684821626,3.0,8.2,2.0,,,,
201,Etna,3da178370890fe8edbd73af1c48b6fa7,0.8870595959379706,2.0,8.2,2.0,,,,
202,Bar le Record,8ae2d0c3c6bfb29c5614921e85221107,0.9683572758997196,2.0,8.2,3.0,,,,
203,Bistro Bar Bizzwack,8ae2d0c3c6bfb29c5614921e85221107,0.1413003917874499,2.0,8.2,3.0,,,,
204,Bar Cafe EVA,73eda86efde149b545d1e7646de05cd6,0.3844012931126763,2.0,8.2,1.0,,,,
205,SuWu,4752f08cc123b7e93771ee25c318efee,0.917703226358946,2.0,8.0,3.0,,,,
206,Bar Chez Pierre,4c87345d7a652a966f526460dfa264c5,0.6158342075403027,2.0,8.2,2.0,,,,
207,Porto Lounge,4c87345d7a652a966f526460dfa264c5,0.6713624069594011,3.0,8.2,2.0,,,,
208,Bar Pamplemousse,eb0fd4c2ab7be34b815978bb8ebfbe65,0.9779271660707788,2.0,8.0,4.0,,,,
209,Foufounes Electriques,eb0fd4c2ab7be34b815978bb8ebfbe65,0.9900661542743368,1.0,7.9,3.0,,,,
210,Bar Taboo,75029d868bd65133941f05b6d4fa2daf,0.9839502736803044,2.0,5.8,3.0,,,,
211,Bar le Jockey,5e32fab9110f792cab5784b893f3a1af,0.9601147530454516,2.0,7.9,3.0,,,,
212,Bar Tennesse,5e32fab9110f792cab5784b893f3a1af,0.90285954883784,1.0,8.2,2.0,,,,
213,Bar Coucou,5e32fab9110f792cab5784b893f3a1af,0.0986034097639998,2.0,8.2,1.0,,,,
214,Bar la Plaza,5e32fab9110f792cab5784b893f3a1af,0.8730151933603089,1.0,8.2,2.0,,,,
215,Bar 1650,5e32fab9110f792cab5784b893f3a1af,0.9283007557430044,2.0,8.2,1.0,,,,
216,Le Système,5e32fab9110f792cab5784b893f3a1af,0.9573244271268206,2.0,8.2,2.0,,,,
217,Helm Brasseur Gourmand,462e77d533503e90f53675acf2f9ddcc,0.9609711190562846,2.0,7.4,1.0,,,,
218,Billard Eljumelgi,e61bdf615b9672bd815d52f210429d3c,0.3704353907526743,2.0,8.2,2.0,,,,
219,Nhâu Bar,81835dccb50d8900b00cc0a3ea1b480f,0.9657739051003732,2.0,8.0,9.0,,,,
220,Boho,81835dccb50d8900b00cc0a3ea1b480f,0.7775375195358496,3.0,8.3,2.0,,,,
221,Méchant Bœuf Bar & Brasserie,81835dccb50d8900b00cc0a3ea1b480f,0.9546411469595438,2.0,8.2,7.0,,,,
222,Philemon Bar,81835dccb50d8900b00cc0a3ea1b480f,0.9552834214676686,2.0,8.0,5.0,,,,
223,Bistro-Brasserie les Soeurs Grises,81835dccb50d8900b00cc0a3ea1b480f,0.9723821961506348,2.0,7.3,2.0,,,,
224,Randolph Pub Ludique,2b9e2e02951cbf0f3386b55b303d7105,0.9538061900989816,1.0,7.6,3.0,16.0,4.5,2.0,16.0
225,Broue Pub Brouhaha,2b9e2e02951cbf0f3386b55b303d7105,0.9821947233580964,2.0,8.4,5.0,,,,
226,Pub Rosemont,2b9e2e02951cbf0f3386b55b303d7105,0.967215454551942,3.0,7.8,4.0,,,,
227,Bar Taverne les Torchés,2b9e2e02951cbf0f3386b55b303d7105,0.2045144761537748,2.0,8.2,2.0,,,,
228,Le Lexor Lounge,2b9e2e02951cbf0f3386b55b303d7105,0.5366917153724835,2.0,8.2,2.0,,,,
229,Bar Rolex,2b9e2e02951cbf0f3386b55b303d7105,0.6437017848094942,2.0,8.2,2.0,,,,
