,fsq_id,distance,name,popularity,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,station_id,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
55,27e752c42904450e443198df,923.0,Solevino,0.3006629700200532,,,45.535331,-73.665964,45.535331,-73.665964,1805 Sauve Rue O,CA,,"1805 Sauve Rue O, Montréal QC H4N 3B8",Montréal,H4N 3B8,QC,45.535296,-73.665777,1ff33fd73e2add3c30fcd821850dccd3,# 102,,
56,2a12178ac65d4877aff124f9,944.0,Resto Bar Beauharnois,0.0584755257730487,,,45.542771,-73.64455,45.542771,-73.64455,8899 Saint-Laurent Blvd,CA,,"8899 Saint-Laurent Blvd, Montréal QC H2N 1M2",Montréal,H2N 1M2,QC,,,1ff33fd73e2add3c30fcd821850dccd3,,,
57,4c6f343a0d68ef3b3fd946e7,974.0,Le Bar Salon Solid Gold Inc,0.9777630292520356,,,45.542106,-73.643752,45.542106,-73.643752,8820 Saint-Laurent Blvd,CA,,"8820 Saint-Laurent Blvd, Montréal QC H2N 1M4",Montréal,H2N 1M4,QC,,,1ff33fd73e2add3c30fcd821850dccd3,,,
58,4bd384809854d13a220afe4d,624.0,Uber Cafbar,0.954748192710898,2.0,7.5,45.557974,-73.659463,45.557974,-73.659463,1011 Fleury Rue E,CA,entre St-Charles & George Baril,"1011 Fleury Rue E (entre St-Charles & George Baril), Montréal QC H2C 1P8",Montréal,H2C 1P8,QC,45.557882,-73.659304,41f8b2e49339317de23ae563e66fe4a6,,,
59,4dcf65d3183899ddfaec7935,127.0,Bar Lajeunesse,0.5046993084844462,2.0,,45.555857,-73.668216,45.555857,-73.668216,589 Henri-Bourassa Blvd E,CA,,"589 Henri-Bourassa Blvd E, Montréal QC H2C 1E2",Montréal,H2C 1E2,QC,,,41f8b2e49339317de23ae563e66fe4a6,,,
60,4d0c25fa801054816a001796,598.0,Bienvenu Bar Salon,0.937228371405939,2.0,,45.557235,-73.659486,45.557235,-73.659486,920 Fleury Rue E,CA,,"920 Fleury Rue E, Montréal QC H2C 1P5",Montréal,H2C 1P5,QC,45.55732,-73.659632,41f8b2e49339317de23ae563e66fe4a6,,,
61,a235d106f4c5408473d1dca0,681.0,In Vino Veritas,0.3041669342810451,,,45.552136,-73.661398,45.552136,-73.661398,10186 Berri Rue,CA,,"10186 Berri Rue, Montréal QC H3L 2G6",Montréal,H3L 2G6,QC,45.55237,-73.661331,41f8b2e49339317de23ae563e66fe4a6,,,
62,4d0c5208d515236a09cd064b,789.0,Bar Ahuntsic,0.9933060723486552,2.0,,45.550335,-73.671324,45.550335,-73.671324,10710 Saint-Laurent Blvd,CA,Henri-Bourassa,"10710 Saint-Laurent Blvd (Henri-Bourassa), Montréal QC H3L 2P7",Montréal,H3L 2P7,QC,,,41f8b2e49339317de23ae563e66fe4a6,,,
63,4b7eb7b0f964a520eafa2fe3,835.0,Le Rendez Vous du Thé,0.9319260385221976,2.0,,45.560229,-73.657648,45.560229,-73.657648,1348 Fleury Rue E,CA,Avenue du Sacré-Coeur,"1348 Fleury Rue E (Avenue du Sacré-Coeur), Montréal QC H2C 1R3",Montréal,H2C 1R3,QC,45.560345,-73.657843,41f8b2e49339317de23ae563e66fe4a6,,,
64,5a0e4f8c8194fc76a7737397,953.0,Le Pourvoyeur,0.9605215269005972,3.0,,45.561437,-73.656962,45.561437,-73.656962,1432 Fleury Rue E,CA,,"1432 Fleury Rue E, Montréal QC H2C 1R8",Montréal,H2C 1R8,QC,45.561539,-73.657132,41f8b2e49339317de23ae563e66fe4a6,,,
